Structures,STRUCTURE_NAME_x,STRUCTURE_NAME_y
1499489-acs.cgd.6b01265_1499490_clean,1499489-acs.cgd.6b01265_1499490_clean,1499489-acs.cgd.6b01265_1499490_clean_164
AKIXEZ_clean,AKIXEZ_clean,AKIXEZ_clean_164
APEBOO_clean,APEBOO_clean,APEBOO_clean_164
c5ta05481h_c5ta05481h2_clean,c5ta05481h_c5ta05481h2_clean,c5ta05481h_c5ta05481h2_clean_164
EKEMEO_clean,EKEMEO_clean,EKEMEO_clean_156
ENIHUG01_clean,ENIHUG01_clean,ENIHUG01_clean_156
ENIHUG_clean,ENIHUG_clean,ENIHUG_clean_156
HACDOH_clean,HACDOH_clean,HACDOH_clean_164
HAMJUC_clean,HAMJUC_clean,HAMJUC_clean_164
HOJJUN_clean,HOJJUN_clean,HOJJUN_clean_164
ja5b00450_si_002_clean,ja5b00450_si_002_clean,ja5b00450_si_002_clean_191
KEWNUX_clean,KEWNUX_clean,KEWNUX_clean_143
KULMEK_clean,KULMEK_clean,KULMEK_clean_164
MUKQUG_clean,MUKQUG_clean,MUKQUG_clean_164
PENNON_clean,PENNON_clean,PENNON_clean_43
SUKKUG_clean,SUKKUG_clean,SUKKUG_clean_164
SUKMAO_clean,SUKMAO_clean,SUKMAO_clean_164
UMODEH10_clean,UMODEH10_clean,UMODEH10_clean_164
UMODEH11_clean,UMODEH11_clean,UMODEH11_clean_164
UMODEH12_clean,UMODEH12_clean,UMODEH12_clean_164
UMODEH13_clean,UMODEH13_clean,UMODEH13_clean_164
UMOYOM16_clean,UMOYOM16_clean,UMOYOM16_clean_164
UMOYOM17_clean,UMOYOM17_clean,UMOYOM17_clean_164
UMOYOM19_clean,UMOYOM19_clean,UMOYOM19_clean_164
VANNEG_clean,VANNEG_clean,VANNEG_clean_156
WANHAX_clean,WANHAX_clean,WANHAX_clean_164
WANHUR_clean,WANHUR_clean,WANHUR_clean_164
YASVOG_clean,YASVOG_clean,YASVOG_clean_164
YEYVOO_clean5b,YEYVOO_clean5b,YEYVOO_clean5b_15
YEYVOO_manual,YEYVOO_manual,YEYVOO_manual_15
